factor,method,num_sorter,num_well_detected,recall,precision,f1
16,krig,65,46,0.767,0.708,0.736
16,remove,61,45,0.75,0.738,0.744
16,edsr,64,50,0.833,0.781,0.806
16,spkres,62,46,0.767,0.742,0.754
8,krig,62,48,0.8,0.774,0.787
8,remove,60,46,0.767,0.767,0.767
8,edsr,64,47,0.783,0.734,0.758
8,spkres,71,46,0.767,0.648,0.702
4,krig,63,40,0.667,0.635,0.65
4,remove,61,40,0.667,0.656,0.661
4,edsr,63,38,0.633,0.603,0.618
4,spkres,68,47,0.783,0.691,0.734
2,krig,55,40,0.667,0.727,0.696
2,remove,49,35,0.583,0.714,0.642
2,edsr,73,46,0.767,0.63,0.692
2,spkres,77,44,0.733,0.571,0.642
