factor,method,num_sorter,num_well_detected,recall,precision,f1
16,krig,54,40,0.667,0.741,0.702
16,remove,54,41,0.683,0.759,0.719
16,edsr,64,42,0.7,0.656,0.677
16,spkres,59,43,0.717,0.729,0.723
8,krig,58,42,0.7,0.724,0.712
8,remove,58,43,0.717,0.741,0.729
8,edsr,59,44,0.733,0.746,0.739
8,spkres,60,45,0.75,0.75,0.75
4,krig,56,38,0.633,0.679,0.655
4,remove,58,39,0.65,0.672,0.661
4,edsr,65,47,0.783,0.723,0.752
4,spkres,64,51,0.85,0.797,0.823
2,krig,42,26,0.433,0.619,0.51
2,remove,53,36,0.6,0.679,0.637
2,edsr,67,54,0.9,0.806,0.85
2,spkres,71,55,0.917,0.775,0.84
