factor,method,num_sorter,num_well_detected,recall,precision,f1
16,krig,65,46,0.767,0.708,0.736
16,remove,61,45,0.75,0.738,0.744
16,edsr,65,49,0.817,0.754,0.784
16,spkres,63,48,0.8,0.762,0.78
8,krig,62,48,0.8,0.774,0.787
8,remove,60,46,0.767,0.767,0.767
8,edsr,62,47,0.783,0.758,0.77
8,spkres,63,51,0.85,0.81,0.829
4,krig,63,40,0.667,0.635,0.65
4,remove,61,40,0.667,0.656,0.661
4,edsr,65,37,0.617,0.569,0.592
4,spkres,66,42,0.7,0.636,0.667
2,krig,55,40,0.667,0.727,0.696
2,remove,49,35,0.583,0.714,0.642
2,edsr,62,27,0.45,0.435,0.443
2,spkres,67,45,0.75,0.672,0.709
