factor,method,num_sorter,num_well_detected,recall,precision,f1
16,krig,54,40,0.667,0.741,0.702
16,remove,55,41,0.683,0.745,0.713
16,edsr,63,41,0.683,0.651,0.667
16,spkres,59,43,0.717,0.729,0.723
8,krig,57,42,0.7,0.737,0.718
8,remove,59,43,0.717,0.729,0.723
8,edsr,61,43,0.717,0.705,0.711
8,spkres,59,46,0.767,0.78,0.773
4,krig,55,38,0.633,0.691,0.661
4,remove,57,38,0.633,0.667,0.65
4,edsr,65,48,0.8,0.738,0.768
4,spkres,63,48,0.8,0.762,0.78
2,krig,44,26,0.433,0.591,0.5
2,remove,52,36,0.6,0.692,0.643
2,edsr,60,45,0.75,0.75,0.75
2,spkres,65,56,0.933,0.862,0.896
