factor,method,num_sorter,num_well_detected,recall,precision,f1
16,krig,65,46,0.767,0.708,0.736
16,remove,61,45,0.75,0.738,0.744
16,edsr,65,48,0.8,0.738,0.768
16,spkres,64,48,0.8,0.75,0.774
8,krig,62,48,0.8,0.774,0.787
8,remove,60,46,0.767,0.767,0.767
8,edsr,65,47,0.783,0.723,0.752
8,spkres,62,51,0.85,0.823,0.836
4,krig,63,40,0.667,0.635,0.65
4,remove,61,40,0.667,0.656,0.661
4,edsr,64,42,0.7,0.656,0.677
4,spkres,62,38,0.633,0.613,0.623
2,krig,55,40,0.667,0.727,0.696
2,remove,49,35,0.583,0.714,0.642
2,edsr,58,30,0.5,0.517,0.508
2,spkres,61,28,0.467,0.459,0.463
