factor,method,num_sorter,num_well_detected,recall,precision,f1
16,krig,55,39,0.65,0.709,0.678
16,remove,56,40,0.667,0.714,0.69
16,edsr,59,43,0.717,0.729,0.723
16,spkres,65,43,0.717,0.662,0.688
8,krig,57,41,0.683,0.719,0.701
8,remove,57,43,0.717,0.754,0.735
8,edsr,59,44,0.733,0.746,0.739
8,spkres,69,41,0.683,0.594,0.636
4,krig,56,37,0.617,0.661,0.638
4,remove,57,39,0.65,0.684,0.667
4,edsr,65,42,0.7,0.646,0.672
4,spkres,70,39,0.65,0.557,0.6
2,krig,42,26,0.433,0.619,0.51
2,remove,53,36,0.6,0.679,0.637
2,edsr,66,41,0.683,0.621,0.651
2,spkres,65,45,0.75,0.692,0.72
