factor,method,num_sorter,num_well_detected,recall,precision,f1
16,krig,54,40,0.667,0.741,0.702
16,remove,54,41,0.683,0.759,0.719
16,edsr,62,43,0.717,0.694,0.705
16,spkres,62,40,0.667,0.645,0.656
8,krig,58,41,0.683,0.707,0.695
8,remove,58,43,0.717,0.741,0.729
8,edsr,61,44,0.733,0.721,0.727
8,spkres,70,42,0.7,0.6,0.646
4,krig,56,37,0.617,0.661,0.638
4,remove,58,38,0.633,0.655,0.644
4,edsr,64,46,0.767,0.719,0.742
4,spkres,65,44,0.733,0.677,0.704
2,krig,42,26,0.433,0.619,0.51
2,remove,54,36,0.6,0.667,0.632
2,edsr,64,45,0.75,0.703,0.726
2,spkres,67,48,0.8,0.716,0.756
