factor,method,num_sorter,num_well_detected,recall,precision,f1
16,krig,55,40,0.667,0.727,0.696
16,remove,57,41,0.683,0.719,0.701
16,edsr,64,40,0.667,0.625,0.645
16,spkres,61,40,0.667,0.656,0.661
8,krig,58,41,0.683,0.707,0.695
8,remove,58,43,0.717,0.741,0.729
8,edsr,70,38,0.633,0.543,0.585
8,spkres,74,39,0.65,0.527,0.582
4,krig,56,37,0.617,0.661,0.638
4,remove,55,40,0.667,0.727,0.696
4,edsr,68,37,0.617,0.544,0.578
4,spkres,64,37,0.617,0.578,0.597
2,krig,44,26,0.433,0.591,0.5
2,remove,52,36,0.6,0.692,0.643
2,edsr,67,41,0.683,0.612,0.646
2,spkres,65,36,0.6,0.554,0.576
