factor,method,num_sorter,num_well_detected,recall,precision,f1
16,krig,65,46,0.767,0.708,0.736
16,remove,61,45,0.75,0.738,0.744
16,edsr,62,46,0.767,0.742,0.754
16,spkres,63,46,0.767,0.73,0.748
8,krig,62,48,0.8,0.774,0.787
8,remove,60,46,0.767,0.767,0.767
8,edsr,60,42,0.7,0.7,0.7
8,spkres,71,49,0.817,0.69,0.748
4,krig,63,40,0.667,0.635,0.65
4,remove,61,40,0.667,0.656,0.661
4,edsr,64,49,0.817,0.766,0.79
4,spkres,69,45,0.75,0.652,0.698
2,krig,55,40,0.667,0.727,0.696
2,remove,49,35,0.583,0.714,0.642
2,edsr,74,47,0.783,0.635,0.701
2,spkres,73,47,0.783,0.644,0.707
