factor,method,num_sorter,num_well_detected,recall,precision,f1
16,krig,54,40,0.667,0.741,0.702
16,remove,55,41,0.683,0.745,0.713
16,edsr,63,43,0.717,0.683,0.699
16,spkres,58,43,0.717,0.741,0.729
8,krig,59,40,0.667,0.678,0.672
8,remove,58,43,0.717,0.741,0.729
8,edsr,62,41,0.683,0.661,0.672
8,spkres,62,44,0.733,0.71,0.721
4,krig,56,37,0.617,0.661,0.638
4,remove,57,40,0.667,0.702,0.684
4,edsr,65,52,0.867,0.8,0.832
4,spkres,64,49,0.817,0.766,0.79
2,krig,43,26,0.433,0.605,0.505
2,remove,52,36,0.6,0.692,0.643
2,edsr,71,52,0.867,0.732,0.794
2,spkres,70,52,0.867,0.743,0.8
