factor,method,num_sorter,num_well_detected,recall,precision,f1
16,krig,37,19,0.38,0.514,0.437
16,remove,37,19,0.38,0.514,0.437
16,edsr,39,19,0.38,0.487,0.427
16,spkres,38,19,0.38,0.5,0.432
8,krig,36,18,0.36,0.5,0.419
8,remove,37,21,0.42,0.568,0.483
8,edsr,41,21,0.42,0.512,0.462
8,spkres,38,17,0.34,0.447,0.386
4,krig,35,19,0.38,0.543,0.447
4,remove,36,19,0.38,0.528,0.442
4,edsr,43,26,0.52,0.605,0.559
4,spkres,38,19,0.38,0.5,0.432
2,krig,34,15,0.3,0.441,0.357
2,remove,37,21,0.42,0.568,0.483
2,edsr,38,18,0.36,0.474,0.409
2,spkres,39,12,0.24,0.308,0.27
