factor,method,num_sorter,num_well_detected,recall,precision,f1
16,krig,36,22,0.44,0.611,0.512
16,remove,36,22,0.44,0.611,0.512
16,edsr,43,24,0.48,0.558,0.516
16,spkres,38,21,0.42,0.553,0.477
8,krig,35,22,0.44,0.629,0.518
8,remove,35,23,0.46,0.657,0.541
8,edsr,48,25,0.5,0.521,0.51
8,spkres,39,22,0.44,0.564,0.494
4,krig,36,20,0.4,0.556,0.465
4,remove,37,23,0.46,0.622,0.529
4,edsr,47,27,0.54,0.574,0.557
4,spkres,39,17,0.34,0.436,0.382
2,krig,31,19,0.38,0.613,0.469
2,remove,36,23,0.46,0.639,0.535
2,edsr,35,18,0.36,0.514,0.424
2,spkres,40,14,0.28,0.35,0.311
