factor,method,num_sorter,num_well_detected,recall,precision,f1
16,krig,37,19,0.38,0.514,0.437
16,remove,37,19,0.38,0.514,0.437
16,edsr,40,21,0.42,0.525,0.467
16,spkres,38,21,0.42,0.553,0.477
8,krig,36,18,0.36,0.5,0.419
8,remove,37,21,0.42,0.568,0.483
8,edsr,40,21,0.42,0.525,0.467
8,spkres,41,21,0.42,0.512,0.462
4,krig,35,19,0.38,0.543,0.447
4,remove,36,19,0.38,0.528,0.442
4,edsr,42,27,0.54,0.643,0.587
4,spkres,43,28,0.56,0.651,0.602
2,krig,34,15,0.3,0.441,0.357
2,remove,37,21,0.42,0.568,0.483
2,edsr,47,23,0.46,0.489,0.474
2,spkres,46,22,0.44,0.478,0.458
