factor,method,num_sorter,num_well_detected,recall,precision,f1
16,krig,36,22,0.44,0.611,0.512
16,remove,36,22,0.44,0.611,0.512
16,edsr,42,25,0.5,0.595,0.543
16,spkres,39,25,0.5,0.641,0.562
8,krig,35,22,0.44,0.629,0.518
8,remove,35,23,0.46,0.657,0.541
8,edsr,44,27,0.54,0.614,0.574
8,spkres,45,26,0.52,0.578,0.547
4,krig,36,20,0.4,0.556,0.465
4,remove,37,23,0.46,0.622,0.529
4,edsr,45,29,0.58,0.644,0.611
4,spkres,46,23,0.46,0.5,0.479
2,krig,30,18,0.36,0.6,0.45
2,remove,37,23,0.46,0.622,0.529
2,edsr,48,34,0.68,0.708,0.694
2,spkres,51,31,0.62,0.608,0.614
