factor,method,num_sorter,num_well_detected,recall,precision,f1
16,krig,36,22,0.44,0.611,0.512
16,remove,36,22,0.44,0.611,0.512
16,edsr,43,24,0.48,0.558,0.516
16,spkres,38,24,0.48,0.632,0.545
8,krig,35,22,0.44,0.629,0.518
8,remove,35,23,0.46,0.657,0.541
8,edsr,45,24,0.48,0.533,0.505
8,spkres,44,25,0.5,0.568,0.532
4,krig,36,20,0.4,0.556,0.465
4,remove,37,23,0.46,0.622,0.529
4,edsr,44,26,0.52,0.591,0.553
4,spkres,45,27,0.54,0.6,0.568
2,krig,32,19,0.38,0.594,0.463
2,remove,35,23,0.46,0.657,0.541
2,edsr,49,27,0.54,0.551,0.545
2,spkres,51,24,0.48,0.471,0.475
