factor,method,num_sorter,num_well_detected,recall,precision,f1
16,krig,36,22,0.44,0.611,0.512
16,remove,36,22,0.44,0.611,0.512
16,edsr,40,24,0.48,0.6,0.533
16,spkres,39,27,0.54,0.692,0.607
8,krig,35,22,0.44,0.629,0.518
8,remove,35,23,0.46,0.657,0.541
8,edsr,48,26,0.52,0.542,0.531
8,spkres,43,26,0.52,0.605,0.559
4,krig,36,20,0.4,0.556,0.465
4,remove,37,23,0.46,0.622,0.529
4,edsr,44,26,0.52,0.591,0.553
4,spkres,46,27,0.54,0.587,0.563
2,krig,31,18,0.36,0.581,0.444
2,remove,35,23,0.46,0.657,0.541
2,edsr,54,35,0.7,0.648,0.673
2,spkres,56,29,0.58,0.518,0.547
