factor,method,num_sorter,num_well_detected,recall,precision,f1
16,krig,36,22,0.44,0.611,0.512
16,remove,36,22,0.44,0.611,0.512
16,edsr,40,23,0.46,0.575,0.511
16,spkres,39,25,0.5,0.641,0.562
8,krig,35,22,0.44,0.629,0.518
8,remove,35,23,0.46,0.657,0.541
8,edsr,47,25,0.5,0.532,0.515
8,spkres,42,28,0.56,0.667,0.609
4,krig,36,20,0.4,0.556,0.465
4,remove,37,23,0.46,0.622,0.529
4,edsr,47,26,0.52,0.553,0.536
4,spkres,46,30,0.6,0.652,0.625
2,krig,31,19,0.38,0.613,0.469
2,remove,36,23,0.46,0.639,0.535
2,edsr,51,32,0.64,0.627,0.634
2,spkres,50,30,0.6,0.6,0.6
