factor,method,num_sorter,num_well_detected,recall,precision,f1
16,krig,37,19,0.38,0.514,0.437
16,remove,37,19,0.38,0.514,0.437
16,edsr,41,20,0.4,0.488,0.44
16,spkres,41,19,0.38,0.463,0.418
8,krig,36,18,0.36,0.5,0.419
8,remove,37,21,0.42,0.568,0.483
8,edsr,42,21,0.42,0.5,0.457
8,spkres,39,21,0.42,0.538,0.472
4,krig,35,19,0.38,0.543,0.447
4,remove,36,19,0.38,0.528,0.442
4,edsr,44,27,0.54,0.614,0.574
4,spkres,44,28,0.56,0.636,0.596
2,krig,34,15,0.3,0.441,0.357
2,remove,37,21,0.42,0.568,0.483
2,edsr,48,23,0.46,0.479,0.469
2,spkres,45,20,0.4,0.444,0.421
