factor,method,num_sorter,num_well_detected,recall,precision,f1
16,krig,36,22,0.44,0.611,0.512
16,remove,38,21,0.42,0.553,0.477
16,edsr,40,26,0.52,0.65,0.578
16,spkres,40,26,0.52,0.65,0.578
8,krig,35,22,0.44,0.629,0.518
8,remove,35,23,0.46,0.657,0.541
8,edsr,48,24,0.48,0.5,0.49
8,spkres,43,26,0.52,0.605,0.559
4,krig,36,20,0.4,0.556,0.465
4,remove,37,23,0.46,0.622,0.529
4,edsr,48,25,0.5,0.521,0.51
4,spkres,48,25,0.5,0.521,0.51
2,krig,31,19,0.38,0.613,0.469
2,remove,36,23,0.46,0.639,0.535
2,edsr,52,28,0.56,0.538,0.549
2,spkres,57,32,0.64,0.561,0.598
