factor,method,num_sorter,num_well_detected,recall,precision,f1
16,krig,37,19,0.38,0.514,0.437
16,remove,37,19,0.38,0.514,0.437
16,edsr,39,17,0.34,0.436,0.382
16,spkres,40,21,0.42,0.525,0.467
8,krig,36,18,0.36,0.5,0.419
8,remove,37,21,0.42,0.568,0.483
8,edsr,40,19,0.38,0.475,0.422
8,spkres,37,18,0.36,0.486,0.414
4,krig,35,19,0.38,0.543,0.447
4,remove,36,19,0.38,0.528,0.442
4,edsr,38,20,0.4,0.526,0.455
4,spkres,37,18,0.36,0.486,0.414
2,krig,34,15,0.3,0.441,0.357
2,remove,37,21,0.42,0.568,0.483
2,edsr,42,19,0.38,0.452,0.413
2,spkres,37,7,0.14,0.189,0.161
