factor,method,num_sorter,num_well_detected,recall,precision,f1
16,krig,36,22,0.44,0.611,0.512
16,remove,36,22,0.44,0.611,0.512
16,edsr,33,19,0.38,0.576,0.458
16,spkres,39,22,0.44,0.564,0.494
8,krig,34,21,0.42,0.618,0.5
8,remove,35,23,0.46,0.657,0.541
8,edsr,41,22,0.44,0.537,0.484
8,spkres,39,19,0.38,0.487,0.427
4,krig,34,20,0.4,0.588,0.476
4,remove,37,23,0.46,0.622,0.529
4,edsr,43,21,0.42,0.488,0.452
4,spkres,35,18,0.36,0.514,0.424
2,krig,31,19,0.38,0.613,0.469
2,remove,36,22,0.44,0.611,0.512
2,edsr,36,19,0.38,0.528,0.442
2,spkres,33,15,0.3,0.455,0.361
