factor,method,num_sorter,num_well_detected,recall,precision,f1
16,krig,37,19,0.38,0.514,0.437
16,remove,37,19,0.38,0.514,0.437
16,edsr,39,22,0.44,0.564,0.494
16,spkres,38,19,0.38,0.5,0.432
8,krig,36,18,0.36,0.5,0.419
8,remove,37,21,0.42,0.568,0.483
8,edsr,38,22,0.44,0.579,0.5
8,spkres,39,20,0.4,0.513,0.449
4,krig,35,19,0.38,0.543,0.447
4,remove,36,19,0.38,0.528,0.442
4,edsr,40,22,0.44,0.55,0.489
4,spkres,41,19,0.38,0.463,0.418
2,krig,34,15,0.3,0.441,0.357
2,remove,37,21,0.42,0.568,0.483
2,edsr,38,16,0.32,0.421,0.364
2,spkres,35,8,0.16,0.229,0.188
