factor,method,num_sorter,num_well_detected,recall,precision,f1
16,krig,36,22,0.44,0.611,0.512
16,remove,36,22,0.44,0.611,0.512
16,edsr,41,22,0.44,0.537,0.484
16,spkres,37,21,0.42,0.568,0.483
8,krig,34,21,0.42,0.618,0.5
8,remove,37,22,0.44,0.595,0.506
8,edsr,38,24,0.48,0.632,0.545
8,spkres,35,22,0.44,0.629,0.518
4,krig,36,20,0.4,0.556,0.465
4,remove,39,23,0.46,0.59,0.517
4,edsr,43,21,0.42,0.488,0.452
4,spkres,37,16,0.32,0.432,0.368
2,krig,32,19,0.38,0.594,0.463
2,remove,36,23,0.46,0.639,0.535
2,edsr,38,20,0.4,0.526,0.455
2,spkres,43,14,0.28,0.326,0.301
